======================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
 WordCnt             LINK_00               LINK_01               LINK_02               LINK_03               LINK_04               LINK_05               LINK_06               LINK_07               LINK_08               LINK_09               LINK_10               LINK_11               LINK_12               LINK_13               LINK_14               LINK_15               LINK_16               LINK_17               LINK_18               LINK_19               LINK_20               LINK_21               LINK_22               LINK_23               LINK_24               LINK_25               LINK_26               LINK_27               LINK_28               LINK_29               LINK_30               LINK_31               LINK_32               LINK_33               LINK_34               LINK_35               LINK_36               LINK_37               LINK_38               LINK_39               LINK_40               LINK_41               LINK_42               LINK_43               LINK_44               LINK_45               LINK_46               LINK_47
 #BeginData
0x0000     0x000000090c8000dd    0x021dd38c0c8000dd    0x0000000c0c8000dd    0x022e075c0c8000dd    0x000000090c8000dd    0x026107a60c8000dd    0x0000000c0c8000dd    0x088ff4aa0c8000dd    0x000000090c8000dd    0x3c3ef85f0c8000dd    0x0000001b0c8000dd    0x00713c8f0c8000dd    0x0000000d0c8000dd    0x3e9e60500c8000dd    0x000000090c8000dd    0x364e87c60c8000dd    0x000000b60c8000dd    0x00e1ac990c8000dd    0x000000090c8000dd    0x3d50088c0c8000dd    0x000300000c8000dd    0x000000000c8000dd    0x000300000c8000dd    0x000000000c8000dd    0x0003000e028000dd    0x0c2ecb66028000dd    0x00000009028000dd    0x007060ab028000dd    0x00000012028000dd    0x021128a5028000dd    0x00000008028000dd    0x0bc18c11028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    
0x0001     0x0000000000030000    0x0000000000000000    0x0000000000000003    0x00000000002edf6b    0x0000002c00000003    0x001e689f00216b5e    0x000000200000000a    0x001f902a002f375d    0x0000002000000008    0x001fc75c002fd363    0x0000001800000004    0x001fd800002db778    0x0000001700000003    0x001e4814002f8770    0x0000001100000004    0x0010102a002e2b7c    0x0000001000000004    0x0012abec00226f6a    0x0000000b00000006    0x001d583c0020f378    0x0000000b00120012    0x001dfbc40021c8a8    0x0000000000000000    0x0000000000000000    0x0000000000030000    0x0000000000000000    0x0000000000000003    0x0000000000222f57    0x0000002300000004    0x001e18640020ef69    0x0000001f00000004    0x001d6bbb002ffb56    0x0000001200000004    0x001da828002f8764    0x0000000c00000000    0x001ee89f00000000    0x0000000000000003    0x00000000002f6f7d    0x0000000000000011    0x00000000002f2861    0x0000000000000009    0x00000000002d9bbe    0x0000000000000008    0x000000000021ec59    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0002     0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0003     0x00000009028000dd    0x026d47a6028000dd    0x0003001a028000dd    0x004030a7028000dd    0x0000000f028000dd    0x0b9133f5028000dd    0x0000000a028000dd    0x3d123456028000dd    0x0000001b028000dd    0x007d7c8f028000dd    0x0000000c028000dd    0x3e2f2409028000dd    0x00000011028000dd    0x0c7f2ff4028000dd    0x00000008028000dd    0x0810f81a028000dd    0x00000008028000dd    0x0292b08b028000dd    0x00000009028000dd    0x3f729c8f028000dd    0x000000b6028000dd    0x00edec99028000dd    0x0000000a028000dd    0x3a5227e3028000dd    0x0003000a028000dd    0x009ff765028000dd    0x0000000e028000dd    0x39215462028000dd    0x0000000f028000dd    0x3800286f028000dd    0x00030009028000dd    0x0051d809028000dd    0x0000000c028000dd    0x3c22a441028000dd    0x00000012028000dd    0x021d68a5028000dd    0x00000008028000dd    0x0bcdcc11028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    
0x0004     0x0000000000030000    0x0000000000000000    0x0000000000000003    0x000000000020c389    0x0000001700000003    0x00118bff002dab5e    0x0000001300000004    0x00120888002eaf6a    0x0000000000120012    0x00000000002e08a8    0x0000000000000000    0x0000000000000000    0x0000000000010007    0x0000000000215bea    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000030000    0x0000000000000000    0x0000000000000003    0x00000000002e6f57    0x0000001e00000000    0x0010289f00000000    0x0000000000000004    0x00000000002f5366    0x0000000000000007    0x0000000000229f7a    0x0000000000000000    0x0000000000000000    0x0000000000000008    0x00000000002e2c59    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0005     0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0006     0x0000000f028000dd    0x0b9d73f5028000dd    0x00030009028000dd    0x3fcf276f028000dd    0x0000000a028000dd    0x3d1e7456028000dd    0x00000009028000dd    0x00c13813028000dd    0x00000008028000dd    0x029ef08b028000dd    0x0000000a028000dd    0x017f83b4028000dd    0x00000009028000dd    0x3f7edc8f028000dd    0x0000000a028000dd    0x3a5e67e3028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x0000000a028000dd    0x01520bc8028000dd    0x00000017028000dd    0x0761bc69028000dd    0x00000013028000dd    0x04d2c3d8028000dd    0x0000000e028000dd    0x392d9462028000dd    0x00000009028000dd    0x041fff93028000dd    0x0000000b028000dd    0x3e10f482028000dd    0x00000008028000dd    0x3c908f9f028000dd    0x00000014028000dd    0x07521c5b028000dd    0x00030009028000dd    0x005e1809028000dd    0x0000000c028000dd    0x3c2ee441028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    
0x0007     0x0000000000030000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x000000190000000e    0x0012584c00202bee    0x0000001800010007    0x001fe814002d9bea    0x0000001700000000    0x001dcbff00000000    0x0000001400000000    0x00114bcb00000000    0x0000001300000000    0x001e488800000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000030000    0x0000000000000000    0x0000000000000003    0x000000000021c759    0x000000210000000c    0x00112fbf0021ef66    0x0000001900000007    0x0012448100211766    0x000a001800000004    0x00128fda002f5f69    0x0000001800000007    0x00121f64002edf7a    0x0000000d00000004    0x001fd8640020a368    0x0000000c00000008    0x00113bec00212359    0x0000000a00000005    0x001f883c00228f71    0x0000000000000012    0x00000000002103be    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0008     0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
