======================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
WordCnt             LINK_00               LINK_01               LINK_02               LINK_03               LINK_04               LINK_05               LINK_06               LINK_07               LINK_08               LINK_09               LINK_10               LINK_11               LINK_12               LINK_13               LINK_14               LINK_15               LINK_16               LINK_17               LINK_18               LINK_19               LINK_20               LINK_21               LINK_22               LINK_23               LINK_24               LINK_25               LINK_26               LINK_27               LINK_28               LINK_29               LINK_30               LINK_31               LINK_32               LINK_33               LINK_34               LINK_35               LINK_36               LINK_37               LINK_38               LINK_39               LINK_40               LINK_41               LINK_42               LINK_43               LINK_44               LINK_45               LINK_46               LINK_47
#BeginData
0x0000    0x00000009028000dd    0x021dd38c028000dd    0x0000000c028000dd    0x022e075c028000dd    0x00000009028000dd    0x026107a6028000dd    0x0000000c028000dd    0x088ff4aa028000dd    0x00000009028000dd    0x3c3ef85f028000dd    0x0000001b028000dd    0x00713c8f028000dd    0x0000000d028000dd    0x3e9e6050028000dd    0x00000009028000dd    0x364e87c6028000dd    0x00000000028000dd    0x00000000028000dd    0x00000009028000dd    0x3d50088c028000dd    0x00000003028000dd    0x002edf6b028000dd    0x00000003028000dd    0x00216b5e028000dd    0x0000000a028000dd    0x002f375d028000dd    0x00000008028000dd    0x002fd363028000dd    0x00000004028000dd    0x002db778028000dd    0x00000003028000dd    0x002f8770028000dd    0x00000004028000dd    0x002e2b7c028000dd    0x00000004028000dd    0x00226f6a028000dd    0x00000006028000dd    0x0020f378028000dd    0x00000012028000dd    0x0021c8a8028000dd    0x00000020028000dd    0x001f902a028000dd    0x00000020028000dd    0x001fc75c028000dd    0x00000018028000dd    0x001fd800028000dd    0x00000017028000dd    0x001e4814028000dd    
0x0001    0x0000000000000011    0x000000000010102a    0x0000000000000010    0x000000000012abec    0x000000000000000b    0x00000000001dfbc4    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0002    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0003    0x00000009028000dd    0x026d47a6028000dd    0x0003001a028000dd    0x004030a7028000dd    0x0000000f028000dd    0x0b9133f5028000dd    0x0000000a028000dd    0x3d123456028000dd    0x0000001b028000dd    0x007d7c8f028000dd    0x0000000c028000dd    0x3e2f2409028000dd    0x00000011028000dd    0x0c7f2ff4028000dd    0x00000008028000dd    0x0810f81a028000dd    0x00000008028000dd    0x0292b08b028000dd    0x00000009028000dd    0x3f729c8f028000dd    0x00000003028000dd    0x0020c389028000dd    0x00000003028000dd    0x002dab5e028000dd    0x00000004028000dd    0x002eaf6a028000dd    0x00000012028000dd    0x002e08a8028000dd    0x00000000028000dd    0x00000000028000dd    0x00010007028000dd    0x00215bea028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x005600b3028000dd    0x001dc092028000dd    0x00000017028000dd    0x00118bff028000dd    0x00000013028000dd    0x00120888028000dd    0x00000000028000dd    0x00000000028000dd    
0x0004    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0005    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0006    0x0000000f028000dd    0x0b9d73f5028000dd    0x00030009028000dd    0x3fcf276f028000dd    0x0000000a028000dd    0x3d1e7456028000dd    0x00000009028000dd    0x00c13813028000dd    0x00000008028000dd    0x029ef08b028000dd    0x0000000a028000dd    0x017f83b4028000dd    0x00000009028000dd    0x3f7edc8f028000dd    0x0000000a028000dd    0x3a5e67e3028000dd    0x00030000028000dd    0x00000000028000dd    0x00030000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x0000000e028000dd    0x00202bee028000dd    0x00010007028000dd    0x002d9bea028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000000028000dd    0x00000019028000dd    0x0012584c028000dd    0x00000018028000dd    0x001fe814028000dd    0x00000017028000dd    0x001dcbff028000dd    0x00000014028000dd    0x00114bcb028000dd    
0x0007    0x0000000000000013    0x00000000001e4888    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
0x0008    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    0x0000000000000000    
